Alternative_Discussed__c,Followups__c,Stop_Work__c,Thank__c,Additional_Comments__c,Is_this_an_office_or_field_observation__c,Location__c,Observation_Time__c
false,false,true,true,Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,Field,Przybiernów,2018-02-19T17:24:28Z
true,true,false,true,"",Field,Ayrihuanca,2018-03-24T23:23:19Z
false,false,false,true,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",Office,Loma Bonita,2018-08-21T04:05:16Z
false,true,true,true,"",Office,Suzëmka,2018-04-03T14:52:59Z
false,false,false,true,"",Field,Yongdeng Chengguanzhen,2019-01-08T10:16:00Z
false,true,false,true,"",Field,Ivanovka,2019-01-12T00:14:10Z
true,false,true,true,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",Field,Jaen,2018-08-11T11:49:10Z
false,false,true,false,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Office,Shaoha,2018-03-04T20:18:43Z
false,true,true,true,"",Office,Jifeng,2018-06-05T15:10:57Z
true,false,true,false,"",Field,Chavárion,2018-07-22T09:05:35Z
true,false,false,false,"",Office,Khvatovka,2018-12-01T19:20:49Z
true,true,true,true,"",Field,Staritsa,2019-01-31T21:13:44Z
true,true,true,false,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",Office,Jiaoyang,2019-02-04T01:51:08Z
true,false,false,false,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",Office,Daya,2018-07-23T19:17:17Z
false,true,true,true,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",Office,Voronkov,2018-09-19T18:51:28Z
false,true,false,true,"",Field,Ribas,2018-02-20T11:56:23Z
true,false,false,true,"",Field,Tumxuk,2018-08-21T09:06:10Z
false,true,true,true,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Office,Jianjun,2018-02-20T22:02:43Z
false,false,false,true,"",Office,Alpatovo,2018-06-07T14:39:15Z
false,false,true,true,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Office,Panshan,2018-10-19T13:02:00Z
true,false,false,true,"",Field,Jianshe,2019-02-17T06:24:38Z
true,true,false,true,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Office,Orahovica Donja,2018-10-27T08:17:57Z
false,true,true,true,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Field,Otuzco,2018-07-16T23:48:46Z
true,true,true,false,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Office,Tangkolo,2018-03-07T15:29:36Z
